Реальный,Ложный,Обратимо
[гласный]̄,[гласный], да
[согласный 1][тройственный по йотированности 1 : полуйотированный],[1][1 : йотированный],да
[согласный 1][тройственный по йотированности 1 : полуйотированный],[1][1 : не йотированный],да
э,ы,да,
оа,уа,да
ёа,юа,да
я̄,еа,да
е̄,ие,да
уэ,ы,нет
[согласный 1][1],[1],да
[парный по звонкости 1 : звонкий][1 : глухой],[1 : звонкий],да
[парный по звонкости 1 : звонкий][1 : глухой],[1 : глухой],да
[согласный 1]ҍ,[1]ь,да
ц,ч,да
уэ,ӯ,да
уэ,оа,да
уа,ӯ,да
уэ,уа,да
ӣ,е̄,да
а̄,оа,да
е̄,уэ,да
а̄,е̄,да
а̄,уа,да
ӣ,ӯ,да
е,оа,да
һ[согласный 1],[согласный 1],да
х[огласный 1],[солгасный 1],да
щ,дж,да
з,дз,да
с,ц,да